sample	depth	pc_genome	combination	density
DC4-100	25	0.49910699999999997	DC4	100
DC4-10000	25	0.842778	DC4	10000
DC4-10	25	0.134944	DC4	10
DC4-1000	25	0.666317	DC4	1000
DC5-100	25	0.382932	DC5	100
DC5-10000	25	0.82132	DC5	10000
DC5-10	25	0.081214	DC5	10
DC5-1000	25	0.553305	DC5	1000
QC1-100	25	0.41526499999999994	QC1	100
QC1-10000	25	0.760609	QC1	10000
QC1-10	25	0.000272	QC1	10
QC1-1000	25	0.661535	QC1	1000
QC2-100	25	0.453113	QC2	100
QC2-10000	25	0.841269	QC2	10000
QC2-10	25	0.000153	QC2	10
QC2-1000	25	0.7359289999999999	QC2	1000
TC1-100	25	0.38866300000000004	TC1	100
TC1-10000	25	0.8210700000000001	TC1	10000
TC1-10	25	0.197484	TC1	10
TC1-1000	25	0.669128	TC1	1000
TC2-100	25	0.48069700000000004	TC2	100
TC2-10000	25	0.818122	TC2	10000
TC2-10	25	0.039519	TC2	10
TC2-1000	25	0.686542	TC2	1000
TC5-100	25	0.370191	TC5	100
TC5-10000	25	0.810743	TC5	10000
TC5-10	25	0.184349	TC5	10
TC5-1000	25	0.683562	TC5	1000
7C1-100	30	0.150916	7C1	100
7C1-10000	30	0.774961	7C1	10000
7C1-10	30	0.0001	7C1	10
7C1-1000	30	0.680808	7C1	1000
DC3-100	30	0.200785	DC3	100
DC3-10000	30	0.801621	DC3	10000
DC3-10	30	0.167909	DC3	10
DC3-1000	30	0.602446	DC3	1000
DC4-100	30	0.458876	DC4	100
DC4-10000	30	0.812578	DC4	10000
DC4-10	30	0.12360399999999999	DC4	10
DC4-1000	30	0.621991	DC4	1000
DC5-100	30	0.34391700000000003	DC5	100
DC5-10000	30	0.7868149999999999	DC5	10000
DC5-10	30	0.072354	DC5	10
DC5-1000	30	0.506532	DC5	1000
QC1-100	30	0.380788	QC1	100
QC1-10000	30	0.719016	QC1	10000
QC1-10	30	0.00024900000000000004	QC1	10
QC1-1000	30	0.615938	QC1	1000
QC2-100	30	0.41841000000000006	QC2	100
QC2-10000	30	0.809316	QC2	10000
QC2-10	30	0.00011399999999999999	QC2	10
QC2-1000	30	0.694743	QC2	1000
TC1-100	30	0.357243	TC1	100
TC1-10000	30	0.786478	TC1	10000
TC1-10	30	0.180095	TC1	10
TC1-1000	30	0.626795	TC1	1000
TC2-100	30	0.44732200000000005	TC2	100
TC2-10000	30	0.784337	TC2	10000
TC2-10	30	0.032954000000000004	TC2	10
TC2-1000	30	0.645913	TC2	1000
TC5-100	30	0.335564	TC5	100
TC5-10000	30	0.776733	TC5	10000
TC5-10	30	0.166258	TC5	10
TC5-1000	30	0.635559	TC5	1000
7C1-100	40	0.118809	7C1	100
7C1-10000	40	0.708159	7C1	10000
7C1-10	40	8.4e-05	7C1	10
7C1-1000	40	0.608017	7C1	1000
DC3-100	40	0.159894	DC3	100
DC3-10000	40	0.741971	DC3	10000
DC3-10	40	0.140752	DC3	10
DC3-1000	40	0.523722	DC3	1000
DC4-100	40	0.397442	DC4	100
DC4-10000	40	0.7554310000000001	DC4	10000
DC4-10	40	0.107151	DC4	10
DC4-1000	40	0.547778	DC4	1000
DC5-100	40	0.285893	DC5	100
DC5-10000	40	0.722282	DC5	10000
DC5-10	40	0.059557000000000006	DC5	10
DC5-1000	40	0.43326800000000004	DC5	1000
QC1-100	40	0.327439	QC1	100
QC1-10000	40	0.643898	QC1	10000
QC1-10	40	0.00021899999999999998	QC1	10
QC1-1000	40	0.5389189999999999	QC1	1000
QC2-100	40	0.364116	QC2	100
QC2-10000	40	0.7489779999999999	QC2	10000
QC2-10	40	6.9e-05	QC2	10
QC2-1000	40	0.621938	QC2	1000
TC1-100	40	0.309316	TC1	100
TC1-10000	40	0.722475	TC1	10000
TC1-10	40	0.154526	TC1	10
TC1-1000	40	0.555335	TC1	1000
TC2-100	40	0.395519	TC2	100
TC2-10000	40	0.721128	TC2	10000
TC2-10	40	0.024419	TC2	10
TC2-1000	40	0.577711	TC2	1000
TC5-100	40	0.28371	TC5	100
TC5-10000	40	0.71248	TC5	10000
TC5-10	40	0.14071199999999998	TC5	10
TC5-1000	40	0.552854	TC5	1000
7C1-100	50	0.09767100000000001	7C1	100
7C1-10000	50	0.648263	7C1	10000
7C1-10	50	6.9e-05	7C1	10
7C1-1000	50	0.547981	7C1	1000
DC3-100	50	0.131906	DC3	100
DC3-10000	50	0.686686	DC3	10000
