baseQuality	bq_count	ext	s1	s2	density
6	2532108	chelex	sof2	sanger2	100
7	10456584	chelex	sof2	sanger2	100
8	9703893	chelex	sof2	sanger2	100
9	13656408	chelex	sof2	sanger2	100
10	112901408	chelex	sof2	sanger2	100
11	374661709	chelex	sof2	sanger2	100
12	437504266	chelex	sof2	sanger2	100
13	279771039	chelex	sof2	sanger2	100
14	203509884	chelex	sof2	sanger2	100
15	212008144	chelex	sof2	sanger2	100
16	102671620	chelex	sof2	sanger2	100
17	59854379	chelex	sof2	sanger2	100
18	43519715	chelex	sof2	sanger2	100
19	81139209	chelex	sof2	sanger2	100
20	85401576	chelex	sof2	sanger2	100
21	118361834	chelex	sof2	sanger2	100
22	218198364	chelex	sof2	sanger2	100
23	907783766	chelex	sof2	sanger2	100
24	1516057441	chelex	sof2	sanger2	100
25	1797761102	chelex	sof2	sanger2	100
26	722450960	chelex	sof2	sanger2	100
27	584757453	chelex	sof2	sanger2	100
28	1149200633	chelex	sof2	sanger2	100
29	2966202907	chelex	sof2	sanger2	100
30	2637815748	chelex	sof2	sanger2	100
31	230315560	chelex	sof2	sanger2	100
32	172189917	chelex	sof2	sanger2	100
33	15742736	chelex	sof2	sanger2	100
34	3000222	chelex	sof2	sanger2	100
35	2424177	chelex	sof2	sanger2	100
6	2069562	chelex	sof2	sanger2	1K
7	8885261	chelex	sof2	sanger2	1K
8	11465428	chelex	sof2	sanger2	1K
9	3955622	chelex	sof2	sanger2	1K
10	41540191	chelex	sof2	sanger2	1K
11	302042091	chelex	sof2	sanger2	1K
12	435426530	chelex	sof2	sanger2	1K
13	254792262	chelex	sof2	sanger2	1K
14	126897508	chelex	sof2	sanger2	1K
15	166855240	chelex	sof2	sanger2	1K
16	157956118	chelex	sof2	sanger2	1K
17	68049560	chelex	sof2	sanger2	1K
18	55495756	chelex	sof2	sanger2	1K
19	59378636	chelex	sof2	sanger2	1K
20	42458009	chelex	sof2	sanger2	1K
21	72033975	chelex	sof2	sanger2	1K
22	100193083	chelex	sof2	sanger2	1K
23	318612535	chelex	sof2	sanger2	1K
24	1137868106	chelex	sof2	sanger2	1K
25	1475166569	chelex	sof2	sanger2	1K
26	1452159138	chelex	sof2	sanger2	1K
27	666426893	chelex	sof2	sanger2	1K
28	1472005572	chelex	sof2	sanger2	1K
29	4003906920	chelex	sof2	sanger2	1K
30	1543484427	chelex	sof2	sanger2	1K
31	93546789	chelex	sof2	sanger2	1K
32	2709105	chelex	sof2	sanger2	1K
6	1745673	qiagen	sanger1	sanger2	100
7	6630454	qiagen	sanger1	sanger2	100
8	7213774	qiagen	sanger1	sanger2	100
9	2998345	qiagen	sanger1	sanger2	100
10	28730807	qiagen	sanger1	sanger2	100
11	206698733	qiagen	sanger1	sanger2	100
12	279283031	qiagen	sanger1	sanger2	100
13	188796441	qiagen	sanger1	sanger2	100
14	151345424	qiagen	sanger1	sanger2	100
15	134182577	qiagen	sanger1	sanger2	100
16	101718942	qiagen	sanger1	sanger2	100
17	61062624	qiagen	sanger1	sanger2	100
18	35485563	qiagen	sanger1	sanger2	100
19	65204318	qiagen	sanger1	sanger2	100
20	31229671	qiagen	sanger1	sanger2	100
21	65268349	qiagen	sanger1	sanger2	100
22	55968820	qiagen	sanger1	sanger2	100
23	158033685	qiagen	sanger1	sanger2	100
24	488875818	qiagen	sanger1	sanger2	100
25	953479018	qiagen	sanger1	sanger2	100
26	1264213802	qiagen	sanger1	sanger2	100
27	506776637	qiagen	sanger1	sanger2	100
28	731711516	qiagen	sanger1	sanger2	100
29	2926660470	qiagen	sanger1	sanger2	100
30	2110261938	qiagen	sanger1	sanger2	100
31	303684000	qiagen	sanger1	sanger2	100
32	1016847	qiagen	sanger1	sanger2	100
4	258501	qiagen	sanger1	sanger2	1K
5	1372049	qiagen	sanger1	sanger2	1K
6	4123780	qiagen	sanger1	sanger2	1K
7	7024754	qiagen	sanger1	sanger2	1K
8	9159801	qiagen	sanger1	sanger2	1K
9	28797863	qiagen	sanger1	sanger2	1K
10	153918902	qiagen	sanger1	sanger2	1K
11	286896042	qiagen	sanger1	sanger2	1K
12	285310071	qiagen	sanger1	sanger2	1K
13	193707985	qiagen	sanger1	sanger2	1K
14	199259907	qiagen	sanger1	sanger2	1K
15	173400238	qiagen	sanger1	sanger2	1K
16	125401500	qiagen	sanger1	sanger2	1K
17	30475178	qiagen	sanger1	sanger2	1K
18	23369278	qiagen	sanger1	sanger2	1K
19	45845515	qiagen	sanger1	sanger2	1K
20	49090447	qiagen	sanger1	sanger2	1K
21	57738417	qiagen	sanger1	sanger2	1K
22	81835075	qiagen	sanger1	sanger2	1K
23	189993868	qiagen	sanger1	sanger2	1K
24	502974687	qiagen	sanger1	sanger2	1K
25	1366044498	qiagen	sanger1	sanger2	1K
26	991421733	qiagen	sanger1	sanger2	1K
27	533496136	qiagen	sanger1	sanger2	1K
28	1547473647	qiagen	sanger1	sanger2	1K
29	3858988774	qiagen	sanger1	sanger2	1K
30	1030684216	qiagen	sanger1	sanger2	1K
31	30417594	qiagen	sanger1	sanger2	1K
5	893505	qiagen	sof1	sanger1	100
6	3045286	qiagen	sof1	sanger1	100
7	7139162	qiagen	sof1	sanger1	100
8	7326654	qiagen	sof1	sanger1	100
9	24767582	qiagen	sof1	sanger1	100
10	105599208	qiagen	sof1	sanger1	100
11	266006935	qiagen	sof1	sanger1	100
12	318468005	qiagen	sof1	sanger1	100
13	194635129	qiagen	sof1	sanger1	100
14	182698558	qiagen	sof1	sanger1	100
15	177209787	qiagen	sof1	sanger1	100
16	98622302	qiagen	sof1	sanger1	100
17	26078548	qiagen	sof1	sanger1	100
18	45260194	qiagen	sof1	sanger1	100
19	72034775	qiagen	sof1	sanger1	100
20	37125787	qiagen	sof1	sanger1	100
21	67986718	qiagen	sof1	sanger1	100
22	80767250	qiagen	sof1	sanger1	100
23	242082503	qiagen	sof1	sanger1	100
24	788260279	qiagen	sof1	sanger1	100
25	1331029907	qiagen	sof1	sanger1	100
26	1417347700	qiagen	sof1	sanger1	100
27	388951614	qiagen	sof1	sanger1	100
28	874331623	qiagen	sof1	sanger1	100
29	3645628127	qiagen	sof1	sanger1	100
30	1778007143	qiagen	sof1	sanger1	100
31	270536230	qiagen	sof1	sanger1	100
32	4773965	qiagen	sof1	sanger1	100
6	2709043	qiagen	sof1	sanger1	1K
7	8802312	qiagen	sof1	sanger1	1K
8	8239194	qiagen	sof1	sanger1	1K
9	2039642	qiagen	sof1	sanger1	1K
10	92337403	qiagen	sof1	sanger1	1K
11	361661980	qiagen	sof1	sanger1	1K
12	335810981	qiagen	sof1	sanger1	1K
13	155643515	qiagen	sof1	sanger1	1K
14	143572736	qiagen	sof1	sanger1	1K
15	163418251	qiagen	sof1	sanger1	1K
16	58964768	qiagen	sof1	sanger1	1K
17	19191497	qiagen	sof1	sanger1	1K
18	17373292	qiagen	sof1	sanger1	1K
19	47469613	qiagen	sof1	sanger1	1K
20	49624324	qiagen	sof1	sanger1	1K
21	65462658	qiagen	sof1	sanger1	1K
22	60709671	qiagen	sof1	sanger1	1K
23	185979986	qiagen	sof1	sanger1	1K
24	316796468	qiagen	sof1	sanger1	1K
25	865665153	qiagen	sof1	sanger1	1K
26	1428947099	qiagen	sof1	sanger1	1K
27	593424212	qiagen	sof1	sanger1	1K
28	924228246	qiagen	sof1	sanger1	1K
29	3037698521	qiagen	sof1	sanger1	1K
30	2156025162	qiagen	sof1	sanger1	1K
31	53140933	qiagen	sof1	sanger1	1K
5	893505	qiagen	sof1	sanger2	100
6	3254481	qiagen	sof1	sanger2	100
7	5416024	qiagen	sof1	sanger2	100
8	5874160	qiagen	sof1	sanger2	100
9	26109343	qiagen	sof1	sanger2	100
10	95448235	qiagen	sof1	sanger2	100
11	151559624	qiagen	sof1	sanger2	100
12	207170080	qiagen	sof1	sanger2	100
13	239144202	qiagen	sof1	sanger2	100
14	212006536	qiagen	sof1	sanger2	100
15	158092110	qiagen	sof1	sanger2	100
16	118220052	qiagen	sof1	sanger2	100
17	67369642	qiagen	sof1	sanger2	100
18	61607463	qiagen	sof1	sanger2	100
19	67824843	qiagen	sof1	sanger2	100
20	35902754	qiagen	sof1	sanger2	100
21	64544647	qiagen	sof1	sanger2	100
22	67897996	qiagen	sof1	sanger2	100
23	269074206	qiagen	sof1	sanger2	100
24	844741885	qiagen	sof1	sanger2	100
25	1174693441	qiagen	sof1	sanger2	100
26	1037434828	qiagen	sof1	sanger2	100
27	528283229	qiagen	sof1	sanger2	100
28	874499081	qiagen	sof1	sanger2	100
29	3815722149	qiagen	sof1	sanger2	100
30	1367804577	qiagen	sof1	sanger2	100
31	198931652	qiagen	sof1	sanger2	100
32	3757118	qiagen	sof1	sanger2	100
4	258501	qiagen	sof1	sanger2	1K
5	1372049	qiagen	sof1	sanger2	1K
6	3282739	qiagen	sof1	sanger2	1K
7	5915912	qiagen	sof1	sanger2	1K
8	9452373	qiagen	sof1	sanger2	1K
9	29315783	qiagen	sof1	sanger2	1K
10	106689295	qiagen	sof1	sanger2	1K
11	232146710	qiagen	sof1	sanger2	1K
12	294880416	qiagen	sof1	sanger2	1K
13	216074348	qiagen	sof1	sanger2	1K
14	186473971	qiagen	sof1	sanger2	1K
15	168354739	qiagen	sof1	sanger2	1K
16	123212336	qiagen	sof1	sanger2	1K
17	30024877	qiagen	sof1	sanger2	1K
18	20071974	qiagen	sof1	sanger2	1K
19	62755990	qiagen	sof1	sanger2	1K
20	29306181	qiagen	sof1	sanger2	1K
21	52697677	qiagen	sof1	sanger2	1K
22	80368358	qiagen	sof1	sanger2	1K
23	240096634	qiagen	sof1	sanger2	1K
24	388156987	qiagen	sof1	sanger2	1K
25	1084266067	qiagen	sof1	sanger2	1K
26	1183788846	qiagen	sof1	sanger2	1K
27	526052156	qiagen	sof1	sanger2	1K
28	1211257523	qiagen	sof1	sanger2	1K
29	3292255321	qiagen	sof1	sanger2	1K
30	1655276074	qiagen	sof1	sanger2	1K
31	33281031	qiagen	sof1	sanger2	1K
5	893505	qiagen	sof1	sof2	100
6	3911698	qiagen	sof1	sof2	100
7	7640719	qiagen	sof1	sof2	100
8	9765659	qiagen	sof1	sof2	100
9	27212298	qiagen	sof1	sof2	100
10	116761190	qiagen	sof1	sof2	100
11	264726014	qiagen	sof1	sof2	100
12	375729003	qiagen	sof1	sof2	100
13	303836680	qiagen	sof1	sof2	100
14	198406959	qiagen	sof1	sof2	100
15	204370533	qiagen	sof1	sof2	100
16	157902998	qiagen	sof1	sof2	100
17	47286829	qiagen	sof1	sof2	100
18	83097541	qiagen	sof1	sof2	100
19	88304956	qiagen	sof1	sof2	100
20	46756839	qiagen	sof1	sof2	100
21	66037626	qiagen	sof1	sof2	100
22	88552966	qiagen	sof1	sof2	100
23	259088966	qiagen	sof1	sof2	100
24	1076503230	qiagen	sof1	sof2	100
25	1820482438	qiagen	sof1	sof2	100
26	1700216811	qiagen	sof1	sof2	100
27	558210305	qiagen	sof1	sof2	100
28	922023674	qiagen	sof1	sof2	100
29	5404432963	qiagen	sof1	sof2	100
30	1454982434	qiagen	sof1	sof2	100
31	223143109	qiagen	sof1	sof2	100
32	45953896	qiagen	sof1	sof2	100
6	2271922	qiagen	sof1	sof2	1K
7	8717123	qiagen	sof1	sof2	1K
8	9142261	qiagen	sof1	sof2	1K
9	2083092	qiagen	sof1	sof2	1K
10	49910852	qiagen	sof1	sof2	1K
11	351675945	qiagen	sof1	sof2	1K
12	393832932	qiagen	sof1	sof2	1K
13	176170952	qiagen	sof1	sof2	1K
14	139293121	qiagen	sof1	sof2	1K
15	183055732	qiagen	sof1	sof2	1K
16	68187625	qiagen	sof1	sof2	1K
17	20592830	qiagen	sof1	sof2	1K
18	16268260	qiagen	sof1	sof2	1K
19	67368792	qiagen	sof1	sof2	1K
20	31279520	qiagen	sof1	sof2	1K
21	67199705	qiagen	sof1	sof2	1K
22	54737233	qiagen	sof1	sof2	1K
23	227836810	qiagen	sof1	sof2	1K
24	189841887	qiagen	sof1	sof2	1K
25	1022326517	qiagen	sof1	sof2	1K
26	1403700818	qiagen	sof1	sof2	1K
27	549298107	qiagen	sof1	sof2	1K
28	1182355205	qiagen	sof1	sof2	1K
29	3169415267	qiagen	sof1	sof2	1K
30	1822391892	qiagen	sof1	sof2	1K
31	96707053	qiagen	sof1	sof2	1K
32	5839865	qiagen	sof1	sof2	1K
6	2402890	qiagen	sof2	sanger1	100
7	8855149	qiagen	sof2	sanger1	100
8	11105273	qiagen	sof2	sanger1	100
9	4101300	qiagen	sof2	sanger1	100
10	50043762	qiagen	sof2	sanger1	100
11	319865123	qiagen	sof2	sanger1	100
12	447841954	qiagen	sof2	sanger1	100
13	253488919	qiagen	sof2	sanger1	100
14	137745847	qiagen	sof2	sanger1	100
15	180461000	qiagen	sof2	sanger1	100
16	141401888	qiagen	sof2	sanger1	100
17	40979811	qiagen	sof2	sanger1	100
18	56975641	qiagen	sof2	sanger1	100
19	85684431	qiagen	sof2	sanger1	100
20	42083756	qiagen	sof2	sanger1	100
21	66761328	qiagen	sof2	sanger1	100
22	76623790	qiagen	sof2	sanger1	100
23	148048445	qiagen	sof2	sanger1	100
24	720637163	qiagen	sof2	sanger1	100
25	1599268015	qiagen	sof2	sanger1	100
26	1926995785	qiagen	sof2	sanger1	100
27	536703713	qiagen	sof2	sanger1	100
28	779236109	qiagen	sof2	sanger1	100
29	4515371284	qiagen	sof2	sanger1	100
30	2197439795	qiagen	sof2	sanger1	100
31	327895457	qiagen	sof2	sanger1	100
32	43213625	qiagen	sof2	sanger1	100
6	3112963	qiagen	sof2	sanger1	1K
7	9825965	qiagen	sof2	sanger1	1K
8	8849689	qiagen	sof2	sanger1	1K
9	1565172	qiagen	sof2	sanger1	1K
10	97140459	qiagen	sof2	sanger1	1K
11	406425277	qiagen	sof2	sanger1	1K
12	384262587	qiagen	sof2	sanger1	1K
13	153804589	qiagen	sof2	sanger1	1K
14	152079057	qiagen	sof2	sanger1	1K
15	188101231	qiagen	sof2	sanger1	1K
16	70376789	qiagen	sof2	sanger1	1K
17	21043131	qiagen	sof2	sanger1	1K
18	19565564	qiagen	sof2	sanger1	1K
19	50458317	qiagen	sof2	sanger1	1K
20	51063786	qiagen	sof2	sanger1	1K
21	72240445	qiagen	sof2	sanger1	1K
22	56203950	qiagen	sof2	sanger1	1K
23	177734044	qiagen	sof2	sanger1	1K
24	304659587	qiagen	sof2	sanger1	1K
25	1304104948	qiagen	sof2	sanger1	1K
26	1211333705	qiagen	sof2	sanger1	1K
27	556742087	qiagen	sof2	sanger1	1K
