owner	extractionMethod	density	repairMethod	swgaMethod	replicate	sampleNumber	laneNumber	sampleName
GH	chelex	10	na	sanger	S24	L002		chelex-10-sanger-S24-L002
GH	chelex	10	na	sanger	S24	L003		chelex-10-sanger-S24-L003
GH	chelex	10	na	sanger	S24	L004		chelex-10-sanger-S24-L004
GH	chelex	10	na	sof	S9	L001		chelex-10-sof-S9-L001
GH	chelex	10	na	sof	S9	L002		chelex-10-sof-S9-L002
GH	chelex	10	na	sof	S9	L003		chelex-10-sof-S9-L003
GH	chelex	10	na	sof	S9	L004		chelex-10-sof-S9-L004
GH	chelex	1000	na	JP	S37	L001		chelex-1K-JP-S37-L001
GH	chelex	1000	na	JP	S37	L002		chelex-1K-JP-S37-L002
GH	chelex	1000	na	JP	S37	L003		chelex-1K-JP-S37-L003
GH	chelex	1000	na	JP	S37	L004		chelex-1K-JP-S37-L004
GH	chelex	1000	na	sanger	S22	L001		chelex-1K-sanger-S22-L001
GH	chelex	1000	na	sanger	S22	L002		chelex-1K-sanger-S22-L002
GH	chelex	1000	na	sanger	S22	L003		chelex-1K-sanger-S22-L003
GH	chelex	1000	na	sanger	S22	L004		chelex-1K-sanger-S22-L004
GH	chelex	1000	na	sof	S7	L001		chelex-1K-sof-S7-L001
GH	chelex	1000	na	sof	S7	L002		chelex-1K-sof-S7-L002
GH	chelex	1000	na	sof	S7	L003		chelex-1K-sof-S7-L003
GH	chelex	1000	na	sof	S7	L004		chelex-1K-sof-S7-L004
GH	na	Neg	na	JP	S15	L001		Neg-JP-S15-L001
GH	na	Neg	na	JP	S15	L002		Neg-JP-S15-L002
GH	na	Neg	na	JP	S15	L003		Neg-JP-S15-L003
GH	na	Neg	na	JP	S15	L004		Neg-JP-S15-L004
GH	na	Neg	na	sanger	S10	L001		Neg-sanger-S10-L001
GH	na	Neg	na	sanger	S10	L002		Neg-sanger-S10-L002
GH	na	Neg	na	sanger	S10	L003		Neg-sanger-S10-L003
GH	na	Neg	na	sanger	S10	L004		Neg-sanger-S10-L004
GH	na	Neg	na	sof	S5	L001		Neg-sof-S5-L001
GH	na	Neg	na	sof	S5	L002		Neg-sof-S5-L002
GH	na	Neg	na	sof	S5	L003		Neg-sof-S5-L003
GH	na	Neg	na	sof	S5	L004		Neg-sof-S5-L004
GH	na	Neg	na	water	S40	L001		Neg-water-S40-L001
GH	na	Neg	na	water	S40	L002		Neg-water-S40-L002
GH	na	Neg	na	water	S40	L003		Neg-water-S40-L003
GH	na	Neg	na	water	S40	L004		Neg-water-S40-L004
GH	qia	100	na	JP	S33	L001		qia-100-JP-S33-L001
GH	qia	100	na	JP	S33	L002		qia-100-JP-S33-L002
GH	qia	100	na	JP	S33	L003		qia-100-JP-S33-L003
GH	qia	100	na	JP	S33	L004		qia-100-JP-S33-L004
GH	qia	100	na	sanger	S18	L001		qia-100-sanger-S18-L001
GH	qia	100	na	sanger	S18	L002		qia-100-sanger-S18-L002
GH	qia	100	na	sanger	S18	L003		qia-100-sanger-S18-L003
GH	qia	100	na	sanger	S18	L004		qia-100-sanger-S18-L004
GH	qia	100	na	sof	S3	L001		qia-100-sof-S3-L001
GH	qia	100	na	sof	S3	L002		qia-100-sof-S3-L002
GH	qia	100	na	sof	S3	L003		qia-100-sof-S3-L003
GH	qia	100	na	sof	S3	L004		qia-100-sof-S3-L004
GH	qia	10	na	JP	S34	L001		qia-10-JP-S34-L001
GH	qia	10	na	JP	S34	L002		qia-10-JP-S34-L002
GH	qia	10	na	JP	S34	L003		qia-10-JP-S34-L003
GH	qia	10	na	JP	S34	L004		qia-10-JP-S34-L004
GH	qia	10000	na	JP	S31	L001		qia-10K-JP-S31-L001
GH	qia	10000	na	JP	S31	L002		qia-10K-JP-S31-L002
GH	qia	10000	na	JP	S31	L003		qia-10K-JP-S31-L003
GH	qia	10000	na	JP	S31	L004		qia-10K-JP-S31-L004
GH	qia	10000	na	sanger	S16	L001		qia-10K-sanger-S16-L001
GH	qia	10000	na	sanger	S16	L002		qia-10K-sanger-S16-L002
GH	qia	10000	na	sanger	S16	L003		qia-10K-sanger-S16-L003
GH	qia	10000	na	sanger	S16	L004		qia-10K-sanger-S16-L004
