na	pc_error	n_sites	s1	s2
ERR	0.518693	15086	1000-Qia-M-Sang-2	10-Che-M-Sof-1
ERR	0.059143	15116	1000-Qia-M-Sang-2	100-Che-M-Sang-1
ERR	0.058695	15112	1000-Qia-M-Sang-2	100-Che-M-Sang-2
ERR	0.053280	15109	1000-Qia-M-Sang-2	100-Che-M-Sof-1
ERR	0.488711	15103	1000-Qia-M-Sang-2	100-Che-M-Sof-2
ERR	0.075376	15111	1000-Qia-M-Sang-2	100-Che-R-Sang-1
ERR	0.070228	15108	1000-Qia-M-Sang-2	100-Che-R-Sang-2
ERR	0.067562	15112	1000-Qia-M-Sang-2	100-Che-R-Sof-1
ERR	0.068806	15115	1000-Qia-M-Sang-2	100-Che-R-Sof-2
ERR	0.228779	15115	1000-Qia-M-Sang-2	100-Qia-M-Sang-1
ERR	0.222502	15110	1000-Qia-M-Sang-2	100-Qia-M-Sang-2
ERR	0.511369	15085	1000-Qia-M-Sang-2	100-Qia-M-Sof-1
ERR	0.164295	15107	1000-Qia-M-Sang-2	100-Qia-M-Sof-2
ERR	0.188588	15107	1000-Qia-M-Sang-2	100-Qia-R-Sang-1
ERR	0.167240	15110	1000-Qia-M-Sang-2	100-Qia-R-Sang-2
ERR	0.145977	15112	1000-Qia-M-Sang-2	100-Qia-R-Sof-1
ERR	0.148567	15111	1000-Qia-M-Sang-2	100-Qia-R-Sof-2
ERR	0.049904	15109	1000-Qia-M-Sang-2	1000-Che-M-Sang-1
ERR	0.052545	15111	1000-Qia-M-Sang-2	1000-Che-M-Sang-2
ERR	0.053743	15109	1000-Qia-M-Sang-2	1000-Che-M-Sof-1
ERR	0.051691	15109	1000-Qia-M-Sang-2	1000-Che-M-Sof-2
ERR	0.052067	15115	1000-Qia-M-Sang-2	1000-Che-R-Sang-1
ERR	0.051022	15111	1000-Qia-M-Sang-2	1000-Che-R-Sang-2
ERR	0.054192	15113	1000-Qia-M-Sang-2	1000-Che-R-Sof-1
ERR	0.051684	15111	1000-Qia-M-Sang-2	1000-Che-R-Sof-2
ERR	0.056173	15114	1000-Qia-M-Sang-2	1000-Qia-M-Sang-1
ERR	0.529868	15083	1000-Qia-M-Sof-1	10-Che-M-Sof-1
