uniq_a	uniq_b	shared	sample_a	sample_b
2952	3188	23001	1000-Che-R-Sof-1	1000-Che-M-Sof-1
3265	2687	22688	1000-Che-R-Sof-1	1000-Che-M-Sof-2
3368	2587	22585	1000-Che-R-Sof-1	1000-Che-R-Sang-1
3293	2717	22660	1000-Che-R-Sof-1	1000-Che-R-Sang-2
0	0	25953	1000-Che-R-Sof-1	1000-Che-R-Sof-1
3025	2735	22928	1000-Che-R-Sof-1	1000-Che-R-Sof-2
4192	3183	21761	1000-Che-R-Sof-1	1000-Qia-M-Sang-1
4459	3110	21494	1000-Che-R-Sof-1	1000-Qia-M-Sang-2
3448	3222	22505	1000-Che-R-Sof-1	1000-Qia-M-Sof-1
3694	3287	22259	1000-Che-R-Sof-1	1000-Qia-M-Sof-2
3929	2830	22024	1000-Che-R-Sof-1	1000-Qia-R-Sang-1
3803	2829	22150	1000-Che-R-Sof-1	1000-Qia-R-Sang-2
2837	3908	23116	1000-Che-R-Sof-1	1000-Qia-R-Sof-1
3239	3317	22714	1000-Che-R-Sof-1	1000-Qia-R-Sof-2
4460	2745	21493	1000-Che-R-Sof-1	100-Che-M-Sang-1
4550	2758	21403	1000-Che-R-Sof-1	100-Che-M-Sang-2
3272	3137	22681	1000-Che-R-Sof-1	100-Che-M-Sof-1
24443	926	1510	1000-Che-R-Sof-1	100-Che-M-Sof-2
6436	2150	19517	1000-Che-R-Sof-1	100-Che-R-Sang-1
5584	2267	20369	1000-Che-R-Sof-1	100-Che-R-Sang-2
4111	2687	21842	1000-Che-R-Sof-1	100-Che-R-Sof-1
4456	2522	21497	1000-Che-R-Sof-1	100-Che-R-Sof-2
10843	2941	15110	1000-Che-R-Sof-1	100-Qia-M-Sang-1
10519	2790	15434	1000-Che-R-Sof-1	100-Qia-M-Sang-2
11472	2276	14481	1000-Che-R-Sof-1	100-Qia-M-Sof-1
12521	1911	13432	1000-Che-R-Sof-1	100-Qia-M-Sof-2
8691	2794	17262	1000-Che-R-Sof-1	100-Qia-R-Sang-1
8195	2976	17758	1000-Che-R-Sof-1	100-Qia-R-Sang-2
8030	3190	17923	1000-Che-R-Sof-1	100-Qia-R-Sof-1
8207	2984	17746	1000-Che-R-Sof-1	100-Qia-R-Sof-2
3070	3057	22593	1000-Che-R-Sof-2	1000-Che-M-Sang-1
2968	3120	22695	1000-Che-R-Sof-2	1000-Che-M-Sang-2
2837	3363	22826	1000-Che-R-Sof-2	1000-Che-M-Sof-1
3079	2791	22584	1000-Che-R-Sof-2	1000-Che-M-Sof-2
3258	2767	22405	1000-Che-R-Sof-2	1000-Che-R-Sang-1
3177	2891	22486	1000-Che-R-Sof-2	1000-Che-R-Sang-2
2735	3025	22928	1000-Che-R-Sof-2	1000-Che-R-Sof-1
0	0	25663	1000-Che-R-Sof-2	1000-Che-R-Sof-2
3953	3234	21710	1000-Che-R-Sof-2	1000-Qia-M-Sang-1
4270	3211	21393	1000-Che-R-Sof-2	1000-Qia-M-Sang-2
3230	3294	22433	1000-Che-R-Sof-2	1000-Qia-M-Sof-1
3515	3398	22148	1000-Che-R-Sof-2	1000-Qia-M-Sof-2
3893	3084	21770	1000-Che-R-Sof-2	1000-Qia-R-Sang-1
3785	3101	21878	1000-Che-R-Sof-2	1000-Qia-R-Sang-2
2705	4066	22958	1000-Che-R-Sof-2	1000-Qia-R-Sof-1
3198	3566	22465	1000-Che-R-Sof-2	1000-Qia-R-Sof-2
4346	2921	21317	1000-Che-R-Sof-2	100-Che-M-Sang-1
4383	2881	21280	1000-Che-R-Sof-2	100-Che-M-Sang-2
3151	3306	22512	1000-Che-R-Sof-2	100-Che-M-Sof-1
24171	944	1492	1000-Che-R-Sof-2	100-Che-M-Sof-2
6219	2223	19444	1000-Che-R-Sof-2	100-Che-R-Sang-1
5431	2404	20232	1000-Che-R-Sof-2	100-Che-R-Sang-2
3892	2758	21771	1000-Che-R-Sof-2	100-Che-R-Sof-1
4157	2513	21506	1000-Che-R-Sof-2	100-Che-R-Sof-2
10659	3047	15004	1000-Che-R-Sof-2	100-Qia-M-Sang-1
10325	2886	15338	1000-Che-R-Sof-2	100-Qia-M-Sang-2
11203	2297	14460	1000-Che-R-Sof-2	100-Qia-M-Sof-1
12309	1989	13354	1000-Che-R-Sof-2	100-Qia-M-Sof-2
8543	2936	17120	1000-Che-R-Sof-2	100-Qia-R-Sang-1
8001	3072	17662	1000-Che-R-Sof-2	100-Qia-R-Sang-2
7763	3213	17900	1000-Che-R-Sof-2	100-Qia-R-Sof-1
8017	3084	17646	1000-Che-R-Sof-2	100-Qia-R-Sof-2
3057	3763	21887	1000-Qia-M-Sang-1	1000-Che-M-Sang-1
2979	3850	21965	1000-Qia-M-Sang-1	1000-Che-M-Sang-2
2912	4157	22032	1000-Qia-M-Sang-1	1000-Che-M-Sof-1
3206	3637	21738	1000-Qia-M-Sang-1	1000-Che-M-Sof-2
3312	3540	21632	1000-Qia-M-Sang-1	1000-Che-R-Sang-1
3264	3697	21680	1000-Qia-M-Sang-1	1000-Che-R-Sang-2
3183	4192	21761	1000-Qia-M-Sang-1	1000-Che-R-Sof-1
3234	3953	21710	1000-Qia-M-Sang-1	1000-Che-R-Sof-2
0	0	24944	1000-Qia-M-Sang-1	1000-Qia-M-Sang-1
3937	3597	21007	1000-Qia-M-Sang-1	1000-Qia-M-Sang-2
3273	4056	21671	1000-Qia-M-Sang-1	1000-Qia-M-Sof-1
3381	3983	21563	1000-Qia-M-Sang-1	1000-Qia-M-Sof-2
3885	3795	21059	1000-Qia-M-Sang-1	1000-Qia-R-Sang-1
