GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sampleName
20782107	64.796685	67.508996	40	29	0.121624	0	0.038254	0.025339	0.170037	0.085771	0.441025	0.981403	0.92279	0.846472	0.774876	0.709313	0.650175	0.596918	0.505818	0.430741	0.369375	0.319127	0.277721	0.242827	0.213792	0.957557	14	8025875145
20782107	126.082806	87.441339	108	74	0.115196	0	0.037288	0.026728	0.163225	0.204666	0.547102	0.991195	0.97374	0.949743	0.923227	0.895841	0.868389	0.841786	0.789221	0.738763	0.690924	0.646047	0.60433	0.565252	0.528892	0.983707	18	8025875146
20782107	128.490404	91.647138	109	82	0.119819	0	0.041303	0.027768	0.164128	0.296793	0.649811	0.989616	0.968479	0.93926	0.909071	0.878756	0.848644	0.819888	0.766869	0.717741	0.672659	0.631408	0.593846	0.559566	0.528119	0.980589	17	8025875166
20782107	83.007495	73.014755	59	39	0.1318	0	0.037134	0.028158	0.173158	0.090038	0.460288	0.989238	0.961764	0.91776	0.869228	0.819761	0.770773	0.723497	0.637276	0.561548	0.495164	0.437689	0.388028	0.344381	0.306555	0.977602	16	8025875170
20782107	237.505219	43.611017	250	0	0.114867	0	0.035414	0.028419	0.16408	0.562633	0.905413	0.996829	0.994593	0.993178	0.991797	0.99035	0.988903	0.987349	0.984253	0.981034	0.977614	0.973946	0.970174	0.966423	0.962618	0.995813	24	8034209115
20782107	156.984754	84.907434	163	87	0.119268	0	0.035866	0.026263	0.168441	0.215861	0.565699	0.995122	0.986933	0.975746	0.963588	0.949883	0.935178	0.919757	0.886793	0.852423	0.817898	0.783167	0.749243	0.716196	0.683984	0.99153	21	8034209228
20782107	131.360204	89.216202	116	81	0.115483	0	0.03915	0.025193	0.16551	0.242448	0.587784	0.99105	0.974494	0.95126	0.925808	0.89887	0.871924	0.84556	0.795732	0.747995	0.703093	0.660503	0.620786	0.584114	0.550223	0.983957	18	8034209281
20782107	223.022847	61.131861	250	0	0.129127	0	0.039551	0.026322	0.17063	0.520721	0.886351	0.995338	0.991409	0.988211	0.985131	0.981999	0.978665	0.975196	0.967778	0.959826	0.951434	0.942876	0.934092	0.925304	0.916423	0.993608	22	8034209465
20782107	114.211184	85.776726	91	63	0.117248	0	0.038116	0.026459	0.164179	0.194311	0.540314	0.991675	0.9728	0.943213	0.910766	0.87779	0.844235	0.811063	0.747828	0.690002	0.636345	0.58785	0.543904	0.504156	0.467791	0.983624	18	8034209589
20782107	78.400468	67.057638	58	36	0.115061	0	0.036644	0.025999	0.164981	0.054627	0.397312	0.990555	0.964683	0.924586	0.878814	0.831	0.782816	0.735798	0.645482	0.562982	0.489439	0.425247	0.369819	0.3221	0.280944	0.979666	17	8034209773
20782107	46.780114	46.589814	33	21	0.117804	0	0.032581	0.026914	0.169678	0.013004	0.359981	0.983165	0.926569	0.842913	0.758749	0.679306	0.60572	0.538484	0.424015	0.334506	0.26503	0.21148	0.169408	0.136415	0.110988	0.959932	14	8034209790
20782107	67.205645	68.841535	42	30	0.12131	0	0.039761	0.026764	0.165353	0.098092	0.45128	0.984655	0.93353	0.861546	0.790782	0.724979	0.664609	0.610059	0.517203	0.442269	0.381384	0.331294	0.289787	0.255135	0.225974	0.9634	14	8034209803
20782107	109.431825	81.4437	87	56	0.12069	0	0.03576	0.025944	0.169977	0.131737	0.484108	0.992362	0.975019	0.949354	0.919634	0.887401	0.854227	0.82084	0.755939	0.694512	0.637187	0.584044	0.534732	0.490171	0.450028	0.984942	18	8034209818
20782107	21.210628	30.394469	11	8	0.12203	0	0.039609	0.026357	0.165895	0.009105	0.362996	0.943987	0.742861	0.551516	0.418889	0.325669	0.258896	0.20952	0.143328	0.102585	0.075998	0.05805	0.045391	0.036209	0.029315	0.863652	9	8034209834
