mq_count	mapQuality	ext	s1	s2	density
56144	24	chelex	sof2	sanger1	1K
58266	11	chelex	sof2	sanger1	1K
58940	10	chelex	sof2	sanger1	1K
59388	27	chelex	sof2	sanger1	1K
61395	43	chelex	sof2	sanger1	1K
65731	30	chelex	sof2	sanger1	1K
70296	31	chelex	sof2	sanger1	1K
73171	45	chelex	sof2	sanger1	1K
74918	14	chelex	sof2	sanger1	1K
78787	17	chelex	sof2	sanger1	1K
82467	13	chelex	sof2	sanger1	1K
90414	15	chelex	sof2	sanger1	1K
97449	16	chelex	sof2	sanger1	1K
110313	33	chelex	sof2	sanger1	1K
123163	12	chelex	sof2	sanger1	1K
132530	18	chelex	sof2	sanger1	1K
146861	19	chelex	sof2	sanger1	1K
147156	58	chelex	sof2	sanger1	1K
164346	2	chelex	sof2	sanger1	1K
177589	5	chelex	sof2	sanger1	1K
196822	1	chelex	sof2	sanger1	1K
208268	3	chelex	sof2	sanger1	1K
218193	4	chelex	sof2	sanger1	1K
229126	21	chelex	sof2	sanger1	1K
335761	6	chelex	sof2	sanger1	1K
360240	7	chelex	sof2	sanger1	1K
393464	52	chelex	sof2	sanger1	1K
605502	9	chelex	sof2	sanger1	1K
1139626	46	chelex	sof2	sanger1	1K
3753317	40	chelex	sof2	sanger1	1K
37419878	60	chelex	sof2	sanger1	1K
52358438	0	chelex	sof2	sanger1	1K
12455	32	chelex	sof2	sanger2	100
14830	34	chelex	sof2	sanger2	100
16076	44	chelex	sof2	sanger2	100
16632	35	chelex	sof2	sanger2	100
18167	59	chelex	sof2	sanger2	100
19187	56	chelex	sof2	sanger2	100
20638	47	chelex	sof2	sanger2	100
21200	53	chelex	sof2	sanger2	100
21556	20	chelex	sof2	sanger2	100
22357	38	chelex	sof2	sanger2	100
23962	37	chelex	sof2	sanger2	100
24388	51	chelex	sof2	sanger2	100
28355	36	chelex	sof2	sanger2	100
29102	22	chelex	sof2	sanger2	100
29857	23	chelex	sof2	sanger2	100
30017	55	chelex	sof2	sanger2	100
30370	42	chelex	sof2	sanger2	100
30384	50	chelex	sof2	sanger2	100
30632	41	chelex	sof2	sanger2	100
32189	48	chelex	sof2	sanger2	100
33142	49	chelex	sof2	sanger2	100
33928	54	chelex	sof2	sanger2	100
34070	39	chelex	sof2	sanger2	100
34305	57	chelex	sof2	sanger2	100
40429	26	chelex	sof2	sanger2	100
42105	29	chelex	sof2	sanger2	100
43510	25	chelex	sof2	sanger2	100
45837	8	chelex	sof2	sanger2	100
49436	24	chelex	sof2	sanger2	100
50389	27	chelex	sof2	sanger2	100
51468	28	chelex	sof2	sanger2	100
60360	10	chelex	sof2	sanger2	100
61548	43	chelex	sof2	sanger2	100
63202	11	chelex	sof2	sanger2	100
65110	30	chelex	sof2	sanger2	100
72841	45	chelex	sof2	sanger2	100
74928	31	chelex	sof2	sanger2	100
89364	14	chelex	sof2	sanger2	100
90222	17	chelex	sof2	sanger2	100
92916	13	chelex	sof2	sanger2	100
101549	15	chelex	sof2	sanger2	100
115407	16	chelex	sof2	sanger2	100
121228	33	chelex	sof2	sanger2	100
138501	12	chelex	sof2	sanger2	100
153435	18	chelex	sof2	sanger2	100
173674	58	chelex	sof2	sanger2	100
175548	19	chelex	sof2	sanger2	100
198744	2	chelex	sof2	sanger2	100
214236	5	chelex	sof2	sanger2	100
235708	1	chelex	sof2	sanger2	100
249770	3	chelex	sof2	sanger2	100
266108	4	chelex	sof2	sanger2	100
280649	21	chelex	sof2	sanger2	100
416060	6	chelex	sof2	sanger2	100
457275	7	chelex	sof2	sanger2	100
501002	52	chelex	sof2	sanger2	100
773047	9	chelex	sof2	sanger2	100
1504794	46	chelex	sof2	sanger2	100
4757310	40	chelex	sof2	sanger2	100
19109839	60	chelex	sof2	sanger2	100
69960895	0	chelex	sof2	sanger2	100
15721	32	chelex	sof2	sanger2	1K
17731	34	chelex	sof2	sanger2	1K
20285	35	chelex	sof2	sanger2	1K
21662	38	chelex	sof2	sanger2	1K
22898	44	chelex	sof2	sanger2	1K
24158	20	chelex	sof2	sanger2	1K
