total	mapped	paired	plate	sampleName	pc_mapped	balance_coeff
71356	26328	20742	m4	8034211236	0.3689668703402657	4.642059784260104
53718	35822	28700	m4	8034211238	0.6668528240068506	3.4117623248283184
80160	28656	22462	m4	8034211241	0.35748502994011977	4.264941024567281
102904	21635	16966	m4	8034211259	0.21024449972790174	5.649001617749018
51084	28064	22034	m4	8034211266	0.5493696656487355	4.3549084236031925
82442	32315	25058	m4	8034211283	0.39197253826932876	3.78202537521275
73290	31528	24736	m4	8034211296	0.43018147086914993	3.876432060390764
84470	32366	25748	m4	8034211298	0.3831656209305079	3.7760659333868873
41728	9497	8394	m4	8034211303	0.22759298312883436	12.868921764767823
55114	13448	10296	m4	8034211316	0.2440033385346736	9.088053985722786
81170	21426	17086	m4	8034211318	0.2639645189109277	5.7041048259124425
47232	24068	18470	m4	8034211324	0.509569783197832	5.077952052517866
87818	13569	10802	m4	8034211329	0.15451274226240633	9.007012307465546
109770	13510	10818	m4	8034211357	0.12307552154504874	9.046347150259068
73516	16732	13198	m4	8034211361	0.22759671364056805	7.304336002868755
78044	31674	25104	m4	8034211383	0.4058479831889703	3.858563806276442
1302	252	176	m4	8034211390	0.1935483870967742	484.9847222222223
54214	37620	29510	m4	8034211407	0.69391670048327	3.24870148856991
86538	58514	46636	m4	8034211430	0.6761653839931591	2.0886651057866494
32550	20854	16366	m4	8034211438	0.6406758832565285	5.860561522969215
85216	53963	44340	m4	8034211460	0.6332496244836651	2.264813853936957
61368	28496	22310	m4	8034211489	0.46434623908225786	4.288887914093206
100106	44022	36212	m4	8034211503	0.4397538609074381	2.7762516469038214
54516	29390	22388	m4	8034211516	0.5391077848704967	4.158426335488262
101314	37923	30488	m4	8034211530	0.3743115462818564	3.2227447723017693
96928	13709	11154	m4	8034211546	0.14143487949818423	8.915030272084032
77476	41889	33574	m4	8034211561	0.5406706593009448	2.917619184033995
65968	28341	23092	m4	8034211564	0.4296173902498181	4.312344306834621
120952	26603	21236	m4	8034211565	0.21994675573781336	4.594073976619178
103716	12871	10644	m4	8034211567	0.12409849974931544	9.495466552715408
70970	26486	21268	m4	8034211568	0.37319994363815695	4.614367967983085
44136	26985	20582	m4	8034211572	0.6114056552474171	4.529040207522698
67008	18951	14872	m4	8034211573	0.2828169770773639	6.449060735581236
88038	30252	23908	m4	8034211584	0.34362434403325837	4.039936202565119
47396	22071	17184	m4	8034211604	0.4656722086252004	5.537408816999683
57768	31724	24484	m4	8034211620	0.5491621659049993	3.852482347749338
85954	20551	16512	m4	8034211635	0.23909300323428812	5.946968517347088
57292	43736	33948	m4	8034211648	0.763387558472387	2.794406209987196
67126	37463	30184	m4	8034211658	0.5580996931144415	3.2623161519365773
21920	8059	6690	m4	8034211662	0.3676551094890511	15.165175580096786
43698	30809	25220	m4	8034211665	0.7050437090942377	3.966897659774741
109162	23125	18458	m4	8034211680	0.21184111687217164	5.285022702702704
59520	34619	28290	m4	8034211689	0.5816364247311828	3.5303200554608747
64872	34658	27336	m4	8034211690	0.5342520656061167	3.526347452247677
69520	31328	24930	m4	8034211693	0.4506329113924051	3.9011794560776303
52684	27180	21186	m4	8034211700	0.5159061574671627	4.496547093451067
66462	41980	33154	m4	8034211742	0.6316391321356565	2.911294664125774
45744	14713	12234	m4	8034211757	0.3216378104232249	8.306677767960307
62614	9786	7518	m4	8034211795	0.15629092535215766	12.48887696709585
83252	31367	25090	m4	8034211807	0.37677172920770674	3.896328944432047
94180	27976	22492	m4	8034211810	0.29704820556381395	4.368607020303117
72146	37385	29886	m4	8034211811	0.5181853463809497	3.269122642771165
69360	42224	34314	m4	8034211819	0.6087658592848905	2.8944711538461543
71302	23518	18728	m4	8034211830	0.3298364702252391	5.196706777787227
3953854	953365	592778	m4	Undetermined	0.24112296508672298	0.12819450053232498
76028	8298	7130	m5	8034208048	0.10914399957910244	9.646655820679683
66040	6978	5936	m5	8034208385	0.10566323440339188	11.47147463456578
90836	15246	13372	m5	8034208394	0.16784094411907174	5.250423061786699
91600	14278	12330	m5	8034208471	0.15587336244541486	5.606383947331559
98766	21719	18000	m5	8034208541	0.21990361055423932	3.6856185828076806
24130	2866	2458	m5	8034208645	0.11877331123083298	27.930198883461273
107518	11685	9988	m5	8034208814	0.10867947692479399	6.850487804878049
66536	40256	34670	m5	8034210890	0.605025850667308	1.9884725258346583
87646	40533	34230	m5	8034210891	0.46246263377678387	1.974883428317667
88284	22259	18802	m5	8034210940	0.25212949118753114	3.5962060290219693
85690	18075	15782	m5	8034210979	0.21093476485004084	4.428655601659751
73540	41430	35620	m5	8034211032	0.5633668751699755	1.9321252715423605
88832	57412	48870	m5	8034211082	0.6462986311239193	1.3942721033930188
86852	37093	32330	m5	8034211085	0.4270828535900152	2.1580338608362766
143840	38662	27930	m5	8034211154	0.2687847608453838	2.070455486006932
137426	51749	43050	m5	8034211182	0.3765590208548601	1.5468501806798198
181166	48411	36032	m5	8034211184	0.26721901460538955	1.6535074673111485
81602	35184	29852	m5	8034211200	0.4311659027965001	2.27512363574352
78470	45320	37902	m5	8034211231	0.577545558812285	1.7662830979699913
85428	36354	30616	m5	8034211239	0.425551341480545	2.201902129064202
49834	13509	11954	m5	8034211252	0.2710799855520328	5.925527426160338
99662	26975	22844	m5	8034211282	0.27066484718348016	2.9674865616311403
72268	39077	34280	m5	8034211286	0.5407234183871146	2.0484671290017147
15104	4993	4038	m5	8034211297	0.3305746822033898	16.032034848788307
80418	26218	22468	m5	8034211310	0.3260215374667363	3.0531676710656797
