total	mapped	paired	plate	sampleName
80614	2801	2256	m4	8034211762
62614	9786	7518	m4	8034211795
83252	31367	25090	m4	8034211807
94180	27976	22492	m4	8034211810
72146	37385	29886	m4	8034211811
69360	42224	34314	m4	8034211819
71302	23518	18728	m4	8034211830
3953854	953365	592778	m4	Undetermined
18592	1238	1104	m5	8034208015
35896	1749	1478	m5	8034208030
76028	8298	7130	m5	8034208048
51014	2236	1972	m5	8034208131
54256	3555	2968	m5	8034208193
24896	1498	1304	m5	8034208241
23352	861	718	m5	8034208281
13438	600	474	m5	8034208287
91460	2464	2080	m5	8034208361
86322	3746	3306	m5	8034208363
86940	4443	3940	m5	8034208364
66040	6978	5936	m5	8034208385
20372	747	586	m5	8034208392
90836	15246	13372	m5	8034208394
28188	800	702	m5	8034208399
22978	1522	1230	m5	8034208406
50648	1627	1384	m5	8034208444
90788	2046	1764	m5	8034208454
39564	1936	1580	m5	8034208459
47292	2863	2358	m5	8034208470
91600	14278	12330	m5	8034208471
8296	378	330	m5	8034208520
98766	21719	18000	m5	8034208541
17264	832	686	m5	8034208585
44738	1457	1222	m5	8034208640
24130	2866	2458	m5	8034208645
47052	967	770	m5	8034208726
23510	1964	1676	m5	8034208778
20018	829	718	m5	8034208786
107518	11685	9988	m5	8034208814
95190	3952	3432	m5	8034208840
89652	8347	7166	m5	8034208843
45572	698	542	m5	8034208844
54740	2255	2014	m5	8034208864
34198	311	266	m5	8034208866
37352	832	694	m5	8034208882
73258	1218	994	m5	8034208906
58278	2516	2122	m5	8034208948
66536	40256	34670	m5	8034210890
87646	40533	34230	m5	8034210891
88284	22259	18802	m5	8034210940
85690	18075	15782	m5	8034210979
73540	41430	35620	m5	8034211032
20244	778	618	m5	8034211069
88832	57412	48870	m5	8034211082
86852	37093	32330	m5	8034211085
126080	12414	10440	m5	8034211098
143840	38662	27930	m5	8034211154
137426	51749	43050	m5	8034211182
181166	48411	36032	m5	8034211184
81602	35184	29852	m5	8034211200
78470	45320	37902	m5	8034211231
85428	36354	30616	m5	8034211239
49834	13509	11954	m5	8034211252
112964	3307	2796	m5	8034211278
99662	26975	22844	m5	8034211282
72268	39077	34280	m5	8034211286
15104	4993	4038	m5	8034211297
80418	26218	22468	m5	8034211310
61938	31377	27182	m5	8034211321
158620	41765	31564	m5	8034211323
83540	38432	32744	m5	8034211351
86470	11439	9676	m5	8034211356
57828	28057	24532	m5	8034211381
88072	42229	36196	m5	8034211406
67724	35289	30686	m5	8034211419
103028	24517	18530	m5	8034211437
67120	39018	33476	m5	8034211471
69378	28806	25104	m5	8034211488
58280	37028	32002	m5	8034211509
71886	39552	33980	m5	8034211512
81838	37582	31618	m5	8034211526
74222	20113	17272	m5	8034211547
65350	40500	34490	m5	8034211558
70916	36022	30440	m5	8034211575
61780	20807	17898	m5	8034211578
56222	12410	10834	m5	8034211582
88470	41191	35254	m5	8034211599
72582	30305	25710	m5	8034211605
68762	47491	40108	m5	8034211610
60462	35235	30506	m5	8034211611
80106	25879	22086	m5	8034211652
57018	34570	30110	m5	8034211687
58668	38671	33528	m5	8034211738
69164	35825	30660	m5	8034211768
85012	19278	16222	m5	8034211786
42906	22991	19708	m5	8034211805
105576	4644	3926	m5	8034211828
5808	78	70	m5	MOZ-P5-NEG1
8008	97	84	m5	MOZ-P5-NEG2
4666	106	74	m5	MOZ-P5-NEG3
1322100	302435	237382	m5	Undetermined
92820	41174	25878	ubn1	1106666165
145084	67520	47502	ubn1	1117532950
114772	53190	34540	ubn1	1147452927
128818	62556	40582	ubn1	1147453268
56608	25680	16376	ubn1	1148499593
100962	57485	43016	ubn1	1148499595
84382	38548	24254	ubn1	1148499596
128626	61358	39644	ubn1	1148499600
100726	43363	27010	ubn1	1148499601
100060	40290	25416	ubn1	1148499609
106944	53576	37418	ubn1	1148499619
89414	43536	29144	ubn1	1148499620
102460	57229	41094	ubn1	1148499630
89724	44504	29966	ubn1	1148499642
99086	46878	30386	ubn1	1148499643
92974	47749	33036	ubn1	1148499654
117578	50589	31514	ubn1	1148499657
89290	41495	27098	ubn1	1148499659
62644	23450	13348	ubn1	1148499670
62868	28969	18834	ubn1	1148499674
86766	41325	26566	ubn1	1148499677
71688	28818	16872	ubn1	1148499683
89506	34617	22098	ubn1	1148499752
213674	118650	90164	ubn1	1148499781
112130	44363	28600	ubn1	1148499783
97066	22737	15626	ubn1	1148499799
